logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
-0.1748,-1.9706,1.1302,1.2491,1.0945,1.2104,1.1725,0.9924,1.0150,-1477.1627,128
