logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-4.2933e-01,-1.7599e+00,-1.3206e+00,-2.9484e-01,-6.9589e-01,1.0639e+00,1.6188e+00,-3.2990e+04
-3.9740e-01,-1.6039e+00,-2.5052e+00,-1.8278e-01,4.1732e-01,8.5828e-01,1.7254e+00,-3.2256e+04
-3.0013e-01,-1.9172e+00,-1.6870e+00,-9.7779e-01,3.4311e-01,1.1142e+00,1.5687e+00,-3.1334e+04
-1.7906e-01,-1.6663e+00,-1.9669e+00,-1.3270e-01,-1.0980e+00,1.3110e+00,1.5989e+00,-2.6384e+04
-3.6682e-01,-1.7637e+00,-1.6773e+00,-1.6312e+00,5.9794e-01,9.7495e-01,1.5871e+00,-3.1366e+04
-3.7630e-01,-1.6928e+00,-1.7906e+00,-6.1108e-02,-3.2281e-02,5.5625e-01,1.7293e+00,-3.1652e+04
-3.8063e-01,-1.9496e+00,-1.0094e+00,-1.4330e+00,-9.4397e-01,1.0814e+00,1.7064e+00,-2.4519e+04
-3.3972e-01,-1.3652e+00,-1.5147e+00,-8.2718e-01,-6.0407e-01,1.4008e+00,1.5361e+00,-2.4866e+04
-4.0709e-01,-1.2651e+00,-1.1797e+00,-3.2255e-01,5.8559e-01,4.0155e-01,1.7163e+00,-3.2874e+04
-2.3506e-01,-1.9367e+00,-3.0774e+00,-6.3566e-02,-2.6723e-01,8.2571e-01,1.7728e+00,-2.9479e+04
-4.1667e-01,-1.5189e+00,-1.5251e+00,-1.1029e+00,7.2129e-01,7.9631e-01,1.6071e+00,-3.3776e+04
-3.8582e-01,-1.7195e+00,-2.1005e+00,-3.2239e-01,-4.2435e-01,1.0936e+00,1.6360e+00,-2.8128e+04
-2.6495e-01,-1.7702e+00,-1.5314e+00,-1.1854e+00,2.5194e-01,1.0222e+00,1.6773e+00,-2.9984e+04
-3.7499e-01,-1.5208e+00,-2.7449e+00,-5.5920e-01,-7.5312e-01,1.2326e+00,1.6861e+00,-2.8830e+04
-4.3171e-01,-1.8473e+00,-2.7242e+00,-1.7815e+00,-1.0722e+00,1.1598e+00,1.6353e+00,-2.5852e+04
-3.8567e-01,-1.5988e+00,-2.0885e+00,-5.2117e-01,5.2584e-01,5.1779e-01,1.7273e+00,-2.7901e+04
