logfeh_mean,logfeh_std,logdust_med,dust_sig,logNpix,tau,dmod,logl
9.5117e-02,2.5820e-01,-7.2479e-01,4.0205e-02,1.3114e+00,3.7702e+00,2.6701e+01,-1.3076e+05
-4.5659e-01,3.8131e-01,-7.8099e-01,3.2753e-01,2.2114e+00,5.5286e+00,2.5518e+01,-1.4633e+05
1.3248e-01,2.2176e-01,-6.2542e-01,2.6709e-01,2.4832e+00,4.8068e+00,2.6067e+01,-1.4246e+05
1.2841e-01,6.1136e-02,-1.5800e-03,3.8945e-01,3.5407e+00,2.9003e+00,2.7521e+01,-1.5952e+05
-3.0799e-01,3.6125e-01,-6.3761e-01,1.0927e-01,1.1967e+00,5.4526e+00,2.6696e+01,-1.2799e+05
-1.8626e-01,2.6154e-02,-7.1393e-01,2.7176e-01,3.5074e+00,7.9395e+00,2.7612e+01,-1.5697e+05
-3.0977e-01,3.4034e-01,-3.8237e-01,3.9399e-01,3.4422e+00,5.2484e+00,2.8272e+01,-1.5712e+05
-7.9179e-03,1.7018e-01,-1.1939e-01,3.3458e-01,1.2094e+00,1.6748e+00,2.8194e+01,-1.5393e+05
-3.5675e-01,2.7863e-01,-8.1587e-01,3.5288e-01,3.0779e+00,4.6346e+00,2.6858e+01,-1.5638e+05
-2.9092e-02,3.6480e-01,-9.3058e-01,2.2915e-01,1.6184e+00,5.7766e+00,2.5677e+01,-6.9592e+04
-4.9659e-01,2.2426e-01,-9.8341e-01,2.2350e-01,1.1828e+00,1.3164e+00,2.9215e+01,-1.5793e+05
9.8447e-02,1.3537e-01,-6.0151e-01,1.9073e-01,1.0821e+00,4.9787e+00,2.9023e+01,-1.5987e+05
-3.2437e-01,1.7205e-01,-5.0669e-01,2.1071e-01,2.3340e+00,9.3282e-01,2.8204e+01,-1.4534e+05
-2.8266e-01,2.1218e-01,-6.4733e-01,1.3770e-01,2.0496e+00,5.8132e+00,2.5954e+01,-9.1286e+04
2.0395e-01,8.7294e-02,-9.4568e-01,1.6484e-01,3.3639e+00,5.1621e+00,2.7959e+01,-1.5702e+05
-1.8153e-01,2.5125e-01,-6.1695e-01,2.9662e-01,1.1879e+00,4.3870e-01,2.8583e+01,-1.5451e+05
-9.2111e-02,2.4343e-01,-9.7485e-01,3.9586e-01,1.2831e+00,6.5592e+00,2.5685e+01,-1.1836e+05
