logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-1.3021e-01,-6.7356e-01,-2.5346e+00,2.1033e-01,-5.7487e-01,4.8349e-01,1.3653e+00,-1.1543e+05
7.0640e-02,-5.5111e-02,-1.7632e+00,-4.0962e-01,-4.2892e-01,3.6573e-01,2.2981e+00,-3.1524e+04
-2.0654e-01,-9.7380e-01,-1.7651e+00,-6.7753e-01,-6.7719e-01,1.1197e-01,1.8287e+00,-4.6382e+04
-2.7324e-02,-2.0354e-01,-8.7850e-01,-7.5768e-01,-9.2912e-01,5.1902e-01,1.9545e+00,-7.1627e+04
1.1947e-01,-2.8523e-01,-2.2772e+00,-1.6061e+00,-2.7022e-01,1.5207e+00,2.3718e+00,-9.8707e+04
-3.5492e-01,-2.5995e-01,-8.5285e-01,-7.0200e-01,-2.6364e-01,1.5467e-01,1.9502e+00,-2.5792e+04
1.4922e-02,-8.6182e-01,-1.4215e+00,-1.6552e+00,-2.6018e-01,1.8171e+00,1.7802e+00,-7.2943e+04
-4.4608e-01,-9.9155e-02,-1.2360e+00,-1.0045e+00,3.8804e-01,1.4576e+00,1.3973e+00,-7.1000e+04
8.2348e-02,-9.3884e-01,-2.1215e+00,-9.7951e-01,-1.1920e-01,1.0085e+00,1.8703e+00,-2.1391e+04
-4.2146e-01,-6.2625e-01,-2.7228e+00,-8.3711e-01,6.6250e-01,1.6604e+00,1.4339e+00,-7.3512e+04
-7.6136e-02,-5.3412e-01,-9.1510e-01,-7.9389e-01,2.3709e-01,1.1944e+00,1.3397e+00,-1.0220e+05
-4.0546e-01,-1.0682e-01,-1.8638e+00,-4.3204e-01,4.9488e-01,6.7452e-01,1.4823e+00,-1.1152e+05
-2.1070e-01,-5.7839e-01,-9.0198e-01,1.4784e-03,-2.3338e-01,1.6697e-01,1.1499e+00,-1.1916e+05
1.6517e-01,-6.3093e-02,-8.5432e-01,-9.5476e-01,2.1124e-02,1.0606e+00,1.7136e+00,-1.1557e+05
-4.7774e-01,-8.9170e-01,-1.6074e+00,-1.1407e+00,5.1295e-01,6.9923e-01,1.0127e+00,-1.1876e+05
-3.5629e-01,-3.6170e-01,-1.1014e+00,-7.9413e-01,3.6976e-02,3.2640e-01,1.8604e+00,-4.6372e+04
1.6476e-01,-5.3502e-01,-1.8339e+00,-1.3418e+00,-1.0463e+00,1.3403e+00,2.0648e+00,-2.3722e+04
-4.1883e-01,-2.5837e-01,-2.3993e+00,-1.0365e+00,-1.6277e-01,1.3964e+00,2.1788e+00,-7.5372e+04
7.0895e-02,-7.1335e-01,-1.7815e+00,-3.6997e-01,-1.0379e-01,1.6450e+00,1.5354e+00,-6.6873e+03
1.0892e-01,-6.6585e-01,-1.3295e+00,1.9573e-01,-2.2130e-01,1.0782e+00,1.9641e+00,-8.8899e+03
-7.5094e-02,-1.7258e-01,-8.1644e-01,1.9666e-01,7.7567e-01,1.2122e+00,1.1206e+00,-9.1667e+04
-1.4115e-01,-1.2811e-02,-2.5181e+00,-1.1290e+00,-2.8307e-01,1.2952e+00,2.0212e+00,-8.3516e+03
5.3177e-02,-2.1342e-02,-2.3930e+00,-5.5478e-01,-6.9575e-01,2.0512e+00,1.2978e+00,-2.3872e+04
-4.8584e-01,-5.1965e-01,-1.2983e+00,-3.6665e-01,-2.8116e-01,1.4950e+00,1.6699e+00,-4.0365e+04
-3.2567e-01,-2.1495e-01,-1.3129e+00,-3.2087e-01,-1.0602e+00,5.8747e-01,1.6776e+00,-1.0755e+05
-6.3591e-02,-9.1201e-01,-2.3021e+00,-1.0876e-01,3.8175e-01,1.7181e+00,1.5244e+00,-6.6935e+04
8.5464e-02,-7.7521e-01,-2.1866e+00,-3.5823e-02,3.6460e-01,7.7310e-01,2.0702e+00,-1.6492e+04
2.4736e-02,-9.0806e-01,-2.6587e+00,-8.1949e-03,1.3621e-01,1.8479e+00,1.1109e+00,-6.7258e+04
1.4943e-01,-9.5875e-01,-8.4996e-01,-1.2791e+00,3.7999e-01,9.1009e-01,1.7417e+00,-6.0238e+04
-3.1003e-01,-4.9316e-01,-2.3972e+00,-1.6196e+00,-3.8988e-01,1.5483e+00,1.8839e+00,-3.1345e+04
-3.7331e-02,-9.4892e-01,-1.2907e+00,-1.3043e+00,5.9642e-01,1.3696e+00,1.4499e+00,-4.4993e+04
1.3826e-01,-3.7671e-01,-1.5669e+00,-1.5922e+00,6.4626e-01,6.6532e-01,1.5456e+00,-1.1825e+05
-2.1844e-02,-3.6486e-01,-2.6506e+00,-1.7933e-01,1.0776e-01,8.2125e-01,2.1284e+00,-1.3820e+04
-2.2217e-01,-8.8904e-01,-1.9559e+00,-4.3119e-01,-2.5115e-01,5.1354e-01,1.8233e+00,-3.6550e+04
5.6611e-02,-9.0398e-01,-1.7429e+00,-4.6554e-02,8.6336e-01,1.3701e+00,1.5065e+00,-4.5579e+04
-2.0582e-01,-1.0429e-02,-2.7106e+00,1.3864e-02,5.0206e-01,9.2259e-01,1.2440e+00,-1.1444e+05
-4.8263e-01,-4.9261e-01,-2.2331e+00,-8.4318e-01,8.2349e-01,1.7041e+00,1.5038e+00,-8.7422e+04
-8.3160e-02,-8.0241e-01,-1.1851e+00,-1.5585e+00,5.5212e-01,5.9112e-01,1.8041e+00,-2.8909e+04
-1.7910e-01,-8.9788e-01,-9.4868e-01,-1.4358e+00,6.9141e-01,1.2950e-01,1.2826e+00,-1.0606e+05
1.2270e-01,-1.4409e-02,-1.6085e+00,2.6395e-01,-8.3524e-01,1.2220e+00,2.1184e+00,-9.4312e+03
-3.0977e-01,-1.5699e-01,-1.5311e+00,2.3457e-01,9.7350e-02,1.4120e+00,2.2445e+00,-9.3924e+04
-8.5755e-02,-8.1427e-01,-8.0436e-01,-1.5419e+00,3.7280e-01,1.1578e+00,1.5171e+00,-7.0449e+04
-3.2886e-01,-4.9626e-01,-9.0240e-01,-5.8553e-01,8.5576e-01,9.6814e-01,1.7682e+00,-2.7740e+04
