nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,5.1700e+02,6.5600e+03,7.8366e+00,-1.9766e+03,-1.9914e+03,-1.0258e+01,-1.9914e+03,5.4076e-01,1.4767e+01,5.9148e+02,-3.7741e-01,-1.0409e+00,3.0061e+00
2.0000e+03,5.1800e+02,6.5710e+03,7.8387e+00,-1.9575e+03,-1.9724e+03,-1.0278e+01,-1.9724e+03,5.4288e-01,1.4883e+01,5.8692e+02,-3.7223e-01,-1.0636e+00,3.0030e+00
2.0000e+03,5.1900e+02,6.5730e+03,7.8514e+00,-1.9573e+03,-1.9716e+03,-1.0297e+01,-1.9712e+03,5.2281e-01,1.3803e+01,5.6790e+02,-6.1037e-01,-9.7266e-01,2.9887e+00
2.0000e+03,5.2000e+02,6.5750e+03,7.8642e+00,-1.9450e+03,-1.9599e+03,-1.0317e+01,-1.9599e+03,5.4360e-01,1.4922e+01,5.6672e+02,-6.9116e-01,-9.2224e-01,2.9890e+00
2.0000e+03,5.2100e+02,6.5790e+03,7.8745e+00,-1.9299e+03,-1.9449e+03,-1.0337e+01,-1.9449e+03,5.4396e-01,1.4942e+01,5.5533e+02,-3.5521e-01,-1.0606e+00,3.0083e+00
2.0000e+03,5.2200e+02,6.5810e+03,7.8872e+00,-1.9260e+03,-1.9409e+03,-1.0357e+01,-1.9409e+03,5.4093e-01,1.4776e+01,5.4030e+02,-6.0286e-01,-9.2474e-01,3.0076e+00
2.0000e+03,5.2300e+02,6.5860e+03,7.8963e+00,-1.9247e+03,-1.9395e+03,-1.0377e+01,-1.9393e+03,5.2698e-01,1.4024e+01,5.3632e+02,-5.9480e-01,-9.3106e-01,3.0008e+00
2.0000e+03,5.2400e+02,6.5870e+03,7.9102e+00,-1.9208e+03,-1.9358e+03,-1.0396e+01,-1.9358e+03,5.4025e-01,1.4739e+01,5.3464e+02,-4.2923e-01,-1.0375e+00,3.0013e+00
2.0000e+03,5.2500e+02,6.5880e+03,7.9241e+00,-1.9025e+03,-1.9175e+03,-1.0416e+01,-1.9175e+03,5.4540e-01,1.5021e+01,5.3115e+02,-4.4946e-01,-9.9840e-01,3.0136e+00
2.0000e+03,5.2600e+02,6.5890e+03,7.9379e+00,-1.8856e+03,-1.9007e+03,-1.0436e+01,-1.9007e+03,5.4576e-01,1.5041e+01,5.5148e+02,-4.3930e-01,-1.0072e+00,3.0019e+00
2.0000e+03,5.2700e+02,6.5980e+03,7.9422e+00,-1.8808e+03,-1.8958e+03,-1.0456e+01,-1.8958e+03,5.4449e-01,1.4971e+01,5.3457e+02,-5.5550e-01,-9.5566e-01,2.9965e+00
2.0000e+03,5.2800e+02,6.5990e+03,7.9561e+00,-1.8651e+03,-1.8802e+03,-1.0476e+01,-1.8802e+03,5.4648e-01,1.5081e+01,5.2969e+02,-5.0298e-01,-9.7699e-01,2.9993e+00
2.0000e+03,5.2900e+02,6.6050e+03,7.9639e+00,-1.8613e+03,-1.8764e+03,-1.0495e+01,-1.8764e+03,5.4288e-01,1.4883e+01,5.2531e+02,-5.3101e-01,-9.4830e-01,3.0107e+00
