logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.6751e-01,-1.4959e+00,1.5690e+00,1.5405e+00,2.3093e+01,-3.9977e+04
-6.4579e-02,-1.5120e+00,2.3113e+00,4.4714e+00,2.5135e+01,-4.4845e+04
-4.6539e-01,-1.6560e+00,2.1925e+00,1.6953e+00,2.4853e+01,-3.7753e+04
-9.2615e-02,-1.5719e+00,2.1004e+00,4.8220e+00,2.4894e+01,-2.5938e+04
-4.9558e-01,-1.1875e+00,1.9494e+00,4.6740e+00,2.4542e+01,-2.0789e+04
-2.3876e-01,-1.7541e+00,2.4131e+00,4.5853e+00,2.5934e+01,-2.7905e+04
-4.8360e-01,-1.8847e+00,3.0361e+00,4.3365e+00,2.7439e+01,-4.4210e+04
-3.4735e-01,-1.8148e+00,2.4640e+00,3.5158e+00,2.5682e+01,-3.5362e+04
-3.6168e-01,-1.4659e+00,1.6498e+00,2.9235e+00,2.3244e+01,-4.5127e+04
-3.8861e-01,-1.7114e+00,1.5447e+00,4.4086e+00,2.3346e+01,-2.8986e+04
-7.3410e-02,-1.8090e+00,2.0337e+00,4.5439e+00,2.4416e+01,-3.4109e+04
-2.3603e-01,-1.5322e+00,2.3277e+00,4.2756e+00,2.5610e+01,-3.1419e+04
-3.9572e-01,-1.7954e+00,2.1538e+00,2.6376e+00,2.4803e+01,-2.9402e+04
-1.5481e-01,-1.8771e+00,1.6247e+00,3.9519e+00,2.3627e+01,-4.5805e+04
-3.2023e-01,-1.8973e+00,2.6355e+00,3.9713e+00,2.6418e+01,-1.6075e+04
