logfeh,logdust,logNpix,tau,logl
-2.3209e-01,-5.0555e-01,4.5044e+00,2.8949e-01,-1.3618e+01
-2.5418e-01,-4.9890e-01,4.5008e+00,9.5917e-01,-1.5266e+01
-2.5130e-01,-5.0012e-01,4.5011e+00,3.2150e-01,-1.4972e+01
-2.4663e-01,-5.0130e-01,4.5016e+00,8.9894e-01,-1.6099e+01
-2.4749e-01,-5.0036e-01,4.5023e+00,7.9382e-01,-1.5008e+01
-2.3882e-01,-5.0380e-01,4.5028e+00,7.4693e-01,-1.3862e+01
-2.4308e-01,-5.0244e-01,4.5022e+00,8.5245e-01,-1.5966e+01
-2.3369e-01,-5.0531e-01,4.5022e+00,1.1530e+00,-1.4270e+01
-2.2912e-01,-5.0657e-01,4.5045e+00,6.5242e-01,-1.4700e+01
-2.4078e-01,-5.0301e-01,4.5029e+00,1.8675e-01,-1.6208e+01
-2.4209e-01,-5.0173e-01,4.5001e+00,1.3446e+00,-1.4933e+01
-2.4688e-01,-5.0083e-01,4.5021e+00,7.5995e-01,-1.3862e+01
-2.3591e-01,-5.0478e-01,4.5029e+00,8.9477e-01,-1.5344e+01
-2.3350e-01,-5.0536e-01,4.5039e+00,1.1392e-01,-1.6220e+01
-2.4350e-01,-5.0215e-01,4.5024e+00,1.5088e-01,-1.5086e+01
-2.4929e-01,-5.0001e-01,4.5017e+00,7.7769e-01,-1.5660e+01
-2.4329e-01,-5.0231e-01,4.5014e+00,1.0403e+00,-1.4801e+01
-2.4925e-01,-5.0037e-01,4.5014e+00,7.7066e-01,-1.5003e+01
-2.3389e-01,-5.0503e-01,4.5040e+00,4.2341e-01,-1.4652e+01
-2.4711e-01,-5.0066e-01,4.5022e+00,7.6356e-01,-1.4592e+01
-2.3610e-01,-5.0445e-01,4.5036e+00,2.7490e-01,-1.5858e+01
-2.5149e-01,-4.9954e-01,4.5016e+00,6.0115e-01,-1.3188e+01
-2.3331e-01,-5.0495e-01,4.5043e+00,1.5053e-01,-1.3743e+01
-2.5715e-01,-4.9854e-01,4.5002e+00,9.2283e-01,-1.6051e+01
-2.5781e-01,-4.9795e-01,4.5010e+00,5.4333e-01,-1.5801e+01
-2.5740e-01,-4.9774e-01,4.5008e+00,9.5016e-01,-1.4841e+01
-2.3906e-01,-5.0394e-01,4.5025e+00,7.6824e-01,-1.5615e+01
-2.4458e-01,-5.0070e-01,4.5006e+00,1.2971e+00,-1.5615e+01
-2.3039e-01,-5.0645e-01,4.5042e+00,3.0471e-01,-1.5845e+01
-2.5639e-01,-4.9829e-01,4.5010e+00,9.5078e-01,-1.6145e+01
-2.3477e-01,-5.0490e-01,4.5036e+00,5.1838e-01,-1.5173e+01
-2.3255e-01,-5.0566e-01,4.5038e+00,3.5269e-01,-1.4701e+01
-2.4556e-01,-5.0122e-01,4.5022e+00,7.8611e-01,-1.5155e+01
-2.3762e-01,-5.0389e-01,4.5017e+00,1.1567e+00,-1.6132e+01
-2.4241e-01,-5.0263e-01,4.5027e+00,4.2963e-01,-1.5563e+01
-2.3143e-01,-5.0589e-01,4.5043e+00,3.1697e-01,-1.4257e+01
-2.4528e-01,-5.0101e-01,4.5026e+00,7.5472e-01,-1.4854e+01
-2.3382e-01,-5.0534e-01,4.5038e+00,3.9888e-01,-1.5749e+01
-2.3337e-01,-5.0502e-01,4.5042e+00,5.7134e-01,-1.5613e+01
-2.4437e-01,-5.0187e-01,4.5026e+00,5.4452e-01,-1.6090e+01
-2.4435e-01,-5.0207e-01,4.5015e+00,9.8241e-01,-1.5980e+01
-2.5032e-01,-5.0001e-01,4.5015e+00,3.3095e-01,-1.4404e+01
-2.4891e-01,-5.0015e-01,4.5012e+00,1.0409e+00,-1.4507e+01
-2.3247e-01,-5.0588e-01,4.5039e+00,1.4742e-01,-1.5487e+01
-2.4859e-01,-5.0071e-01,4.5017e+00,2.3578e-01,-1.4881e+01
-2.3342e-01,-5.0493e-01,4.5044e+00,1.4437e-01,-1.6176e+01
-2.4625e-01,-5.0136e-01,4.5019e+00,7.7190e-01,-1.6092e+01
-2.4088e-01,-5.0202e-01,4.5026e+00,1.0923e+00,-1.6134e+01
-2.3148e-01,-5.0633e-01,4.5038e+00,3.9970e-01,-1.4590e+01
-2.3487e-01,-5.0495e-01,4.5037e+00,5.5177e-01,-1.6218e+01
-2.3494e-01,-5.0359e-01,4.5030e+00,1.2009e+00,-1.5453e+01
-2.4083e-01,-5.0287e-01,4.5030e+00,1.8913e-01,-1.3581e+01
-2.3947e-01,-5.0349e-01,4.5031e+00,2.0251e-01,-1.5972e+01
-2.4019e-01,-5.0306e-01,4.5032e+00,5.5932e-01,-1.5040e+01
-2.3174e-01,-5.0615e-01,4.5039e+00,4.2011e-01,-1.5859e+01
-2.3486e-01,-5.0483e-01,4.5034e+00,7.8578e-01,-1.6143e+01
