GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 140 | batch: 0 | bound: 20 | nc: 2 | ncall: 1410 | eff(%):  9.722 | logz: -16100.878 +/-  0.534 | dlogz: 13291.688 > 10.000 
iter: 141 | batch: 0 | bound: 21 | nc: 27 | ncall: 1437 | eff(%):  9.611 | logz: -15845.969 +/-  0.535 | dlogz: 13139.357 > 10.000 
iter: 142 | batch: 0 | bound: 22 | nc: 22 | ncall: 1459 | eff(%):  9.537 | logz: -15457.565 +/-  0.536 | dlogz: 12884.416 > 10.000 
iter: 143 | batch: 0 | bound: 23 | nc: 27 | ncall: 1486 | eff(%):  9.433 | logz: -15305.206 +/-  0.537 | dlogz: 12495.979 > 10.000 
iter: 144 | batch: 0 | bound: 26 | nc: 60 | ncall: 1546 | eff(%):  9.137 | logz: -15247.730 +/-  0.538 | dlogz: 12343.587 > 10.000 
iter: 145 | batch: 0 | bound: 26 | nc: 6 | ncall: 1552 | eff(%):  9.166 | logz: -15074.388 +/-  0.539 | dlogz: 12286.079 > 10.000 
iter: 146 | batch: 0 | bound: 27 | nc: 23 | ncall: 1575 | eff(%):  9.097 | logz: -14985.786 +/-  0.540 | dlogz: 12226.885 > 10.000 
iter: 147 | batch: 0 | bound: 29 | nc: 41 | ncall: 1616 | eff(%):  8.931 | logz: -14923.917 +/-  0.541 | dlogz: 12138.250 > 10.000 
iter: 148 | batch: 0 | bound: 29 | nc: 11 | ncall: 1627 | eff(%):  8.932 | logz: -14758.660 +/-  0.542 | dlogz: 12076.349 > 10.000 
iter: 149 | batch: 0 | bound: 30 | nc: 22 | ncall: 1649 | eff(%):  8.874 | logz: -14671.352 +/-  0.543 | dlogz: 11911.058 > 10.000 
iter: 150 | batch: 0 | bound: 31 | nc: 23 | ncall: 1672 | eff(%):  8.813 | logz: -14354.569 +/-  0.544 | dlogz: 11823.717 > 10.000 
