logfeh,logdust_med,logNpix,tau,dmod,logl
2.0778e-01,-1.9142e+00,3.7271e+00,9.9744e+00,2.8164e+01,-6.2979e+03
2.2895e-01,-1.9710e+00,3.7286e+00,9.9912e+00,2.8172e+01,-6.3097e+03
2.0310e-01,-1.9658e+00,3.7261e+00,9.9975e+00,2.8169e+01,-6.3028e+03
2.1301e-01,-1.9937e+00,3.7276e+00,9.9476e+00,2.8165e+01,-6.3146e+03
2.3714e-01,-1.9519e+00,3.7265e+00,9.9794e+00,2.8165e+01,-6.3066e+03
2.2051e-01,-1.9761e+00,3.7259e+00,9.9913e+00,2.8159e+01,-6.3046e+03
2.0170e-01,-1.9945e+00,3.7284e+00,9.9966e+00,2.8171e+01,-6.3125e+03
2.0038e-01,-1.9680e+00,3.7260e+00,9.9955e+00,2.8161e+01,-6.2997e+03
2.1942e-01,-1.9689e+00,3.7274e+00,9.9602e+00,2.8170e+01,-6.3113e+03
2.0126e-01,-1.9974e+00,3.7299e+00,9.9979e+00,2.8170e+01,-6.3144e+03
2.3869e-01,-1.9725e+00,3.7272e+00,9.9705e+00,2.8163e+01,-6.2965e+03
2.3207e-01,-1.9714e+00,3.7260e+00,9.9904e+00,2.8168e+01,-6.3134e+03
2.0671e-01,-1.9814e+00,3.7283e+00,9.9878e+00,2.8165e+01,-6.2827e+03
2.4833e-01,-1.9879e+00,3.7259e+00,9.9714e+00,2.8165e+01,-6.3034e+03
2.1568e-01,-1.8973e+00,3.7258e+00,9.9799e+00,2.8164e+01,-6.3067e+03
2.3279e-01,-1.9712e+00,3.7295e+00,9.9975e+00,2.8175e+01,-6.3017e+03
2.3650e-01,-1.9891e+00,3.7284e+00,9.9949e+00,2.8175e+01,-6.2983e+03
2.1302e-01,-1.9705e+00,3.7266e+00,9.9890e+00,2.8164e+01,-6.2969e+03
