logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
4.6816e-01,-7.7121e-01,2.5472e+00,2.1898e+00,3.7047e+00,3.5380e+00,4.2934e+00,3.1660e+01,-1.8539e+03
-2.1974e-02,-1.3950e+00,1.7472e+00,2.7156e+00,7.3899e-01,3.8444e+00,3.7819e+00,3.0836e+01,-1.9143e+03
1.3364e-01,-1.0459e+00,2.2596e+00,2.0481e+00,1.6313e+00,3.6708e+00,4.1468e+00,3.0958e+01,-1.6509e+03
-5.2193e-01,-9.8599e-01,2.1586e+00,8.6359e-01,3.8188e+00,3.4712e+00,3.7122e+00,3.1569e+01,-1.9177e+03
-6.8344e-01,-1.1175e+00,1.7927e+00,1.6768e+00,2.9242e+00,3.4556e+00,3.8167e+00,3.0589e+01,-1.0462e+03
-7.3566e-02,-1.0797e+00,2.1521e+00,2.3510e+00,2.9446e+00,2.7160e+00,4.1660e+00,3.0921e+01,-1.7689e+03
4.2543e-01,-9.3710e-01,2.5462e+00,2.6729e+00,3.4247e+00,1.8211e+00,4.5543e+00,3.1716e+01,-1.4348e+03
-5.3355e-01,-1.1110e+00,1.2942e+00,7.6450e-01,1.3830e+00,3.4209e+00,1.9380e+00,2.9201e+01,-1.4525e+03
-4.4906e-01,-1.0291e+00,2.1300e+00,3.9905e-01,3.9620e+00,2.7517e+00,2.3301e+00,3.1601e+01,-1.9087e+03
-1.0428e-01,-5.7288e-01,2.4107e+00,2.3128e+00,1.9892e+00,4.2959e+00,2.5760e+00,3.1373e+01,-1.4258e+03
-4.7065e-01,-5.9577e-01,1.9322e+00,2.2126e+00,2.1959e+00,2.0997e+00,3.9593e+00,3.0218e+01,-1.9408e+03
1.3724e-01,-1.3107e+00,6.4731e-01,2.1869e+00,2.1244e+00,3.3475e+00,2.6917e+00,2.9206e+01,-1.6204e+03
3.9337e-02,-1.3728e+00,1.1801e+00,2.4616e+00,1.2823e+00,3.1641e+00,3.5758e+00,2.9743e+01,-1.3816e+03
-2.1427e-01,-1.0547e+00,2.3741e+00,1.4391e+00,1.6655e+00,4.0939e+00,4.0275e+00,3.1410e+01,-1.4648e+03
-4.5229e-01,-9.6865e-01,1.9435e+00,1.8659e+00,1.2766e+00,3.2951e+00,3.9029e+00,3.0312e+01,-1.1714e+03
-2.1133e-01,-1.7139e+00,2.0076e+00,2.1354e+00,5.0704e-01,2.0688e+00,4.1303e+00,3.0563e+01,-1.3535e+03
2.8642e-01,-8.0011e-01,2.1003e+00,2.4695e+00,3.5133e+00,3.7948e+00,2.7308e+00,3.0873e+01,-1.9936e+03
3.3837e-01,-1.4373e+00,1.8631e+00,2.3360e+00,3.1845e+00,2.7176e+00,3.8452e+00,3.0397e+01,-9.1088e+02
-3.0544e-01,-1.6732e+00,1.8451e+00,7.6801e-01,3.0856e+00,2.4131e+00,3.9099e+00,3.0470e+01,-8.4744e+02
3.7930e-02,-5.3936e-01,2.1671e+00,2.6437e-01,3.2783e+00,3.6190e+00,3.5570e+00,3.0554e+01,-1.7152e+03
-5.3694e-01,-6.3549e-01,1.9863e+00,2.0771e+00,3.2531e+00,1.5419e+00,4.0304e+00,3.0724e+01,-1.8765e+03
-3.2369e-04,-8.4473e-01,1.8486e+00,9.0070e-01,3.1264e+00,2.6212e+00,3.4284e+00,2.9864e+01,-1.4687e+03
-1.8594e-01,-1.2128e+00,2.0880e+00,3.5272e-01,1.8802e+00,3.9597e+00,3.8146e+00,3.0904e+01,-1.9291e+03
8.3848e-02,-1.7323e+00,7.8141e-01,2.0588e+00,1.3674e+00,2.1197e+00,3.3291e+00,2.8665e+01,-1.8926e+03
3.1805e-01,-6.6020e-01,2.2929e+00,5.4401e-01,3.6790e+00,3.5562e+00,3.0761e+00,3.1018e+01,-1.4945e+03
-7.6307e-01,-1.4566e+00,1.1085e+00,1.2869e+00,2.0030e+00,3.4776e+00,2.5487e+00,2.9531e+01,-1.7299e+03
