logfeh_mean,logdust,logNpix,logage,dmod,logl
8.8539e-02,-1.8760e+00,4.4310e+00,1.0108e+01,3.0371e+01,-3.9350e+01
1.9279e-01,-1.6080e+00,4.3546e+00,9.9871e+00,3.0282e+01,-3.6028e+01
4.5657e-01,-1.6161e+00,4.2299e+00,9.9025e+00,3.0035e+01,-3.9866e+01
2.2311e-01,-1.6846e+00,4.3437e+00,1.0025e+01,3.0245e+01,-4.3126e+01
3.8503e-01,-1.8350e+00,4.2910e+00,9.9746e+00,3.0149e+01,-4.1925e+01
2.0380e-01,-1.6374e+00,4.3803e+00,1.0004e+01,3.0344e+01,-4.1752e+01
1.9333e-01,-1.4040e+00,4.3350e+00,9.9560e+00,3.0307e+01,-3.3942e+01
3.6512e-01,-1.7897e+00,4.2717e+00,9.9659e+00,3.0106e+01,-3.2914e+01
9.7779e-02,-1.9431e+00,4.4591e+00,1.0097e+01,3.0440e+01,-3.7388e+01
2.0937e-01,-1.9664e+00,4.3845e+00,1.0069e+01,3.0278e+01,-4.2224e+01
7.6217e-02,-1.5117e+00,4.4363e+00,1.0037e+01,3.0446e+01,-3.9799e+01
2.4476e-01,-1.8009e+00,4.3515e+00,9.9912e+00,3.0264e+01,-2.8923e+01
5.0929e-02,-1.7546e+00,4.4491e+00,1.0091e+01,3.0432e+01,-3.4296e+01
1.7027e-01,-1.8060e+00,4.4059e+00,1.0044e+01,3.0344e+01,-3.8115e+01
2.4960e-01,-1.8466e+00,4.3428e+00,1.0006e+01,3.0244e+01,-4.3021e+01
2.9547e-01,-1.5955e+00,4.3213e+00,9.9329e+00,3.0248e+01,-3.6718e+01
2.8241e-01,-1.9714e+00,4.3477e+00,1.0019e+01,3.0246e+01,-3.3704e+01
1.9380e-01,-1.9195e+00,4.3807e+00,1.0036e+01,3.0274e+01,-4.0370e+01
3.2535e-01,-1.4394e+00,4.2791e+00,9.8780e+00,3.0186e+01,-4.2590e+01
2.7321e-01,-1.9349e+00,4.3450e+00,1.0024e+01,3.0244e+01,-4.0462e+01
3.5785e-01,-1.7619e+00,4.2874e+00,9.9501e+00,3.0145e+01,-4.2024e+01
7.8656e-02,-1.8267e+00,4.4452e+00,1.0098e+01,3.0411e+01,-4.0452e+01
4.7074e-01,-1.6528e+00,4.2384e+00,9.8983e+00,3.0056e+01,-4.1089e+01
1.9985e-01,-1.9332e+00,4.3934e+00,1.0035e+01,3.0303e+01,-4.0272e+01
2.7143e-01,-1.5499e+00,4.3370e+00,9.9690e+00,3.0293e+01,-4.0823e+01
1.2437e-01,-1.6413e+00,4.4159e+00,1.0034e+01,3.0383e+01,-4.3830e+01
9.1636e-02,-1.9309e+00,4.4359e+00,1.0099e+01,3.0386e+01,-4.0964e+01
2.6158e-01,-1.3333e+00,4.2943e+00,9.9019e+00,3.0240e+01,-4.0069e+01
2.8470e-01,-1.5725e+00,4.3161e+00,9.9541e+00,3.0238e+01,-4.2593e+01
2.6035e-01,-1.5290e+00,4.3030e+00,9.9591e+00,3.0211e+01,-4.3484e+01
4.2394e-01,-1.9727e+00,4.2684e+00,9.9657e+00,3.0086e+01,-4.0659e+01
8.1717e-02,-1.5382e+00,4.4277e+00,1.0041e+01,3.0426e+01,-4.2549e+01
3.8561e-01,-1.8837e+00,4.2594e+00,9.9553e+00,3.0074e+01,-4.3579e+01
2.4656e-01,-1.7996e+00,4.3280e+00,9.9881e+00,3.0203e+01,-4.0750e+01
2.1902e-01,-1.7059e+00,4.3519e+00,9.9892e+00,3.0272e+01,-3.6973e+01
3.6981e-01,-1.8111e+00,4.2764e+00,9.9690e+00,3.0118e+01,-3.5237e+01
2.5932e-01,-1.8481e+00,4.3376e+00,1.0019e+01,3.0226e+01,-3.5219e+01
3.4916e-01,-1.7846e+00,4.3044e+00,9.9348e+00,3.0194e+01,-4.1218e+01
2.1912e-01,-1.2895e+00,4.3268e+00,9.8983e+00,3.0334e+01,-4.3302e+01
2.9428e-01,-1.5952e+00,4.3202e+00,9.9678e+00,3.0247e+01,-3.6081e+01
2.3746e-01,-1.7753e+00,4.3327e+00,1.0014e+01,3.0219e+01,-4.0947e+01
