logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-5.5558e-01,-5.9744e-01,1.9247e+00,2.3808e+00,8.7996e-01,4.4910e+00,3.3570e+00,3.0215e+01,-9.7758e+04
-1.6939e-03,-1.6861e+00,2.3560e+00,1.7832e+00,5.3643e-01,2.8338e+00,2.8165e+00,3.1774e+01,-9.3876e+04
-4.7523e-01,-1.8599e+00,2.4782e+00,1.3299e+00,2.1650e+00,1.6806e+00,3.8739e+00,3.0814e+01,-8.7415e+04
2.9331e-01,-1.0008e+00,2.5129e+00,1.3687e+00,2.8708e+00,3.2158e+00,2.8457e+00,3.0310e+01,-8.1770e+04
-6.6553e-01,-1.8270e+00,1.8082e+00,2.4382e+00,2.3735e+00,2.5278e+00,3.4535e+00,3.0315e+01,-9.9162e+04
7.1960e-02,-1.0050e+00,2.1284e+00,1.1287e+00,2.5120e+00,3.6148e+00,3.8629e+00,3.0385e+01,-9.9355e+04
-2.8083e-01,-1.4996e+00,5.8436e-01,1.0356e+00,1.1594e+00,1.8450e+00,4.5519e+00,2.9775e+01,-6.6509e+04
-1.3764e-01,-7.4765e-01,2.1146e+00,4.8098e-01,4.0425e+00,5.3652e+00,2.6889e+00,3.2323e+01,-6.3955e+04
-1.8412e-02,-1.1986e+00,1.8289e+00,1.6506e+00,4.6946e-01,3.3394e+00,4.9064e+00,3.0718e+01,-8.2667e+04
1.3383e-01,-9.8821e-01,-3.4269e-01,1.5287e+00,3.8473e+00,5.4494e+00,3.7113e+00,3.2337e+01,-3.8919e+04
-3.9744e-01,-5.4050e-01,2.7024e+00,3.5107e+00,4.8342e-01,3.2997e+00,3.5392e+00,3.0298e+01,-9.9727e+04
-7.7804e-02,-1.1121e+00,1.1408e+00,1.9278e+00,1.1955e+00,3.4648e+00,5.7786e+00,3.2614e+01,-6.1442e+04
6.1793e-02,-1.3102e+00,2.2649e+00,1.5313e-01,3.6007e+00,2.8912e+00,2.4994e+00,3.0630e+01,-9.6832e+04
4.6321e-01,-1.6906e+00,2.6097e+00,1.5539e+00,2.1536e+00,2.4602e+00,3.0736e+00,3.1875e+01,-9.0408e+04
3.3494e-01,-1.6235e+00,-5.5131e-01,4.1820e-01,1.2568e+00,3.1930e+00,4.5440e+00,2.9707e+01,-5.7404e+04
-3.9517e-01,-5.6810e-01,1.0005e+00,2.2041e+00,2.0777e+00,2.5380e+00,2.4388e+00,2.9576e+01,-1.0167e+05
4.7711e-01,-7.3536e-01,2.5372e+00,2.2212e+00,1.0732e+00,1.9183e+00,3.7234e+00,3.0315e+01,-8.4445e+04
-5.0351e-01,-1.0630e+00,8.9489e-01,1.0446e-01,9.8078e-01,1.9904e+00,4.3015e+00,2.9055e+01,-8.7217e+04
2.1272e-01,-6.5902e-01,-8.7546e-01,1.4699e+00,2.0298e+00,5.2651e+00,2.8849e+00,3.1648e+01,-5.4192e+04
-7.5620e-01,-1.3126e+00,1.9125e+00,2.9961e+00,1.2925e+00,2.6931e+00,2.8421e+00,2.9030e+01,-9.7583e+04
-3.4557e-01,-1.6963e+00,5.0925e-01,2.7348e+00,7.6033e-01,3.6555e+00,5.8100e+00,3.2974e+01,-9.0228e+04
-3.1665e-01,-5.5804e-01,2.6297e+00,2.2058e+00,5.1885e-01,3.8856e+00,4.2093e+00,3.0569e+01,-9.8412e+04
-2.7065e-01,-1.1042e+00,-1.1284e+00,1.3717e+00,2.5061e+00,4.6035e+00,2.9101e+00,3.0542e+01,-1.0145e+05
2.4223e-02,-8.7870e-01,2.6917e+00,1.5053e+00,3.1916e+00,3.1291e+00,3.0531e+00,3.0538e+01,-8.3185e+04
-3.4913e-01,-9.0897e-01,2.7076e+00,3.7307e-01,2.3765e+00,3.2377e+00,2.5587e+00,3.1850e+01,-8.9881e+04
-8.0132e-01,-1.3776e+00,2.6034e+00,2.8691e+00,2.9161e+00,2.1371e+00,2.4787e+00,3.2375e+01,-1.0098e+05
4.3163e-01,-1.8629e+00,2.6441e+00,7.4598e-01,1.5548e+00,3.0782e+00,5.4494e+00,3.1781e+01,-8.7031e+04
2.0920e-01,-1.2883e+00,2.1307e+00,2.1534e+00,6.2689e-01,3.3545e+00,3.3843e+00,3.1281e+01,-9.9491e+04
4.7650e-01,-1.6461e+00,2.5078e+00,4.0100e-01,2.7106e+00,4.1103e+00,3.3451e+00,3.1288e+01,-9.9592e+04
3.5649e-01,-1.6664e+00,2.1674e+00,5.2327e-01,3.7445e+00,2.6363e+00,2.6883e+00,3.0705e+01,-1.0311e+05
3.4561e-01,-5.4204e-01,1.7012e+00,7.8284e-01,1.7430e+00,2.6413e+00,2.9781e+00,3.0198e+01,-9.9063e+04
1.6908e-01,-1.2127e+00,1.9807e+00,2.1141e-01,5.9673e-01,2.2499e+00,3.9637e+00,3.0221e+01,-9.6706e+04
3.2192e-01,-5.5186e-01,2.0964e+00,5.2772e-01,4.1948e+00,2.2506e+00,2.7536e+00,2.9976e+01,-2.4176e+04
4.8048e-01,-1.3086e+00,2.6324e+00,5.1111e-01,2.5354e+00,2.1954e+00,2.9741e+00,2.9946e+01,-7.2894e+04
5.7817e-02,-1.2158e+00,2.1578e+00,1.7139e+00,1.2699e+00,2.4281e+00,3.3483e+00,2.9289e+01,-7.6252e+04
-3.6077e-01,-1.1037e+00,2.5891e+00,1.5984e-02,1.3864e+00,1.9703e+00,4.1618e+00,3.0276e+01,-8.7823e+04
-1.4756e-01,-1.4974e+00,2.7015e+00,6.8719e-01,2.1491e+00,2.9781e+00,4.6749e+00,2.9161e+01,-1.0213e+05
-1.8882e-01,-9.4362e-01,2.7225e+00,1.9741e+00,4.4413e-01,1.6484e+00,4.2874e+00,3.2240e+01,-9.8413e+04
