logfeh_mean,logdust_med,logNpix,tau,dmod,logl
4.8658e-02,-6.8486e-01,2.9845e+00,4.9836e-01,2.7913e+01,-8.4965e+01
-2.8805e-01,-7.0666e-01,1.5042e+00,7.1561e+00,2.7256e+01,-1.2304e+03
-1.1846e-02,-1.9069e-01,2.1319e+00,2.2597e+00,2.6929e+01,-1.6936e+02
5.4132e-02,-7.0349e-01,2.4091e+00,4.4693e+00,2.6188e+01,-2.1630e+02
-4.1960e-01,-8.0374e-01,1.9529e+00,6.6136e+00,2.9482e+01,-4.8220e+03
-4.7908e-01,-4.2670e-01,4.2226e+00,3.4220e+00,2.7626e+01,-3.8766e+03
-2.8544e-01,-6.7417e-02,3.7729e+00,7.6791e+00,2.7026e+01,-3.0641e+03
-3.5629e-01,-3.6170e-01,4.3299e+00,3.8116e+00,2.7902e+01,-3.8015e+03
-4.9333e-03,-3.2578e-01,3.6675e+00,7.8682e+00,2.7454e+01,-2.0764e+03
-3.5300e-01,-9.6127e-01,3.4634e+00,4.5606e+00,2.5541e+01,-4.5859e+03
5.6225e-02,-8.1652e-01,2.3946e+00,3.8958e+00,2.8220e+01,-2.2717e+02
-3.3780e-02,-2.3881e-01,2.1466e+00,3.9898e+00,2.8410e+01,-1.3187e+03
-1.1752e-01,-2.3179e-01,2.1997e+00,4.4204e+00,2.6223e+01,-1.6167e+01
-4.7245e-01,-6.4858e-02,4.9686e+00,4.4460e+00,2.9085e+01,-4.4064e+03
-7.5094e-02,-1.7258e-01,4.8997e+00,7.7253e+00,2.9749e+01,-3.2133e+03
-8.6160e-02,-9.0746e-01,3.9617e+00,4.5579e+00,2.8729e+01,-1.4924e+03
-1.0107e-01,-2.4606e-02,3.6431e+00,7.2063e+00,2.9434e+01,-2.0496e+02
-1.9139e-01,-7.8684e-01,2.1778e+00,5.0212e+00,2.6241e+01,-6.3744e+01
9.9761e-02,-9.8112e-01,2.9214e+00,5.8987e+00,2.8418e+01,-2.6014e+01
-1.8404e-01,-3.0680e-01,2.4688e+00,1.9363e+00,2.8925e+01,-6.8334e+02
-1.8887e-01,-7.1792e-01,3.2591e+00,4.1116e+00,2.5560e+01,-3.3022e+03
-6.3591e-02,-9.1201e-01,1.9285e+00,6.5189e+00,2.8764e+01,-2.2159e+03
-1.3706e-01,-2.1040e-01,2.3900e+00,2.0180e+00,2.8298e+01,-4.5731e+02
1.3674e-01,-2.5583e-01,2.3290e+00,4.5819e+00,2.8498e+01,-6.2259e+02
-4.3105e-01,-9.4620e-01,4.4512e+00,5.0768e+00,2.9348e+01,-2.5438e+03
-4.3423e-01,-1.3410e-01,1.1650e+00,7.6696e+00,2.6137e+01,-2.7023e+03
6.3897e-02,-5.9925e-01,2.6123e+00,2.1010e+00,2.7534e+01,-7.3777e+00
-3.6158e-01,-9.4292e-01,2.4677e+00,5.7867e+00,2.7371e+01,-4.3935e+01
1.2993e-01,-4.1768e-01,1.3154e+00,3.9086e+00,2.5982e+01,-2.0013e+03
-6.5003e-02,-2.7295e-01,2.9851e+00,4.7688e+00,2.7209e+01,-4.4117e+02
1.1718e-01,-7.2527e-01,1.2069e+00,1.2688e+00,2.5082e+01,-5.5776e+02
-3.3175e-04,-7.8454e-01,4.6740e+00,2.1689e+00,2.8953e+01,-3.1715e+03
7.5729e-02,-7.8703e-01,3.7487e+00,5.4659e+00,2.9377e+01,-4.3525e+02
-1.7278e-01,-7.9752e-01,2.7756e+00,5.9630e+00,2.5480e+01,-1.8488e+03
8.4244e-02,-3.6058e-01,3.2079e+00,4.5764e+00,2.8804e+01,-3.4803e+01
-4.0548e-01,-9.8664e-01,2.3526e+00,3.9261e+00,2.7731e+01,-4.1407e+01
-4.7297e-01,-9.3878e-01,1.0926e+00,4.1084e+00,2.6333e+01,-3.2084e+03
-1.6602e-01,-2.6391e-02,4.1911e+00,2.3446e+00,2.7779e+01,-2.7091e+03
-3.5181e-01,-2.0940e-01,1.3505e+00,6.7196e+00,2.6206e+01,-8.5356e+02
-1.7430e-01,-5.7214e-01,1.4085e+00,7.2796e+00,2.5745e+01,-2.7111e+02
1.8068e-01,-9.8955e-01,1.6941e+00,6.7292e+00,2.6551e+01,-2.9883e+02
