# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
24.558569 1.354266
24.589060 1.384538
24.616760 1.364877
24.626982 1.353898
24.608833 1.345237
24.537092 1.362204
24.444096 1.370293
24.544851 1.241364
23.825826 1.320002
23.835645 1.267323
23.795838 1.320883
23.790655 1.282204
23.811890 1.273817
23.848848 1.263215
23.926048 1.251927
24.007475 1.296184
24.024719 1.355694
24.003205 1.354277
24.011209 1.392219
24.033065 1.371222
24.036161 1.332331
24.017719 1.351980
23.983348 1.371027
23.971304 1.344021
23.951363 1.330562
23.912672 1.390880
23.929641 1.394350
23.951426 1.381272
23.906732 1.430231
23.854911 1.448884
23.815439 1.461582
23.743321 1.480971
23.688091 1.437600
23.668740 1.397632
23.662922 1.374942
23.645941 1.357254
23.657460 1.316334
23.652216 1.377306
23.644425 1.379583
23.638921 1.384257
23.673312 1.358725
23.674865 1.339185
23.651050 1.282301
23.611354 1.339355
23.616907 1.333038
23.652418 1.373914
23.704225 1.367266
23.731340 1.314738
23.711134 1.322267
23.716904 1.307833
23.678382 1.317662
23.649253 1.318379
23.632603 1.314169
23.607952 1.315902
23.587727 1.343796
23.570059 1.365376
23.591040 1.295982
23.545335 1.317224
23.464920 1.346786
23.491587 1.357696
23.589678 1.322878
23.628766 1.310593
23.644628 1.353706
23.647349 1.380259
23.683528 1.407508
23.689682 1.485048
23.692230 1.560583
23.764116 1.515415
23.846550 1.519518
23.845626 1.506776
23.857334 1.535709
23.862683 1.534481
23.853872 1.515045
23.837446 1.503149
23.831118 1.433501
23.798291 1.453578
23.796701 1.458663
23.797992 1.469150
23.812959 1.490296
23.847135 1.475072
23.848976 1.515155
23.860216 1.455451
23.844005 1.470848
23.800319 1.464226
23.777669 1.457434
23.696622 1.449858
23.672092 1.463227
23.664916 1.411902
23.674971 1.404615
23.698802 1.424795
23.674650 1.475606
23.670605 1.404801
23.666442 1.421545
23.707266 1.373285
23.697190 1.384107
23.736055 1.430653
23.761300 1.409790
23.759320 1.429879
23.798282 1.473806
23.803839 1.470950
23.774709 1.452530
23.745374 1.453775
23.751348 1.472059
23.728898 1.541240
23.711101 1.505451
23.712533 1.415535
23.672220 1.407016
23.646447 1.387185
23.632293 1.364280
23.644337 1.377845
23.665927 1.390080
23.674930 1.366238
23.661568 1.379106
23.641685 1.388225
23.646054 1.371681
23.639622 1.365850
23.663280 1.342230
23.692009 1.358142
23.717583 1.395743
23.743867 1.404737
23.704771 1.457561
23.676958 1.445387
23.676456 1.452048
23.715217 1.404097
23.707233 1.404685
23.689780 1.424663
23.657990 1.386552
23.620431 1.359885
23.575063 1.340518
23.571644 1.282482
23.600010 1.262942
23.625382 1.252550
23.657269 1.204512
23.655301 1.225029
23.628173 1.322580
23.649527 1.362211
23.663085 1.324228
23.646759 1.351835
23.672141 1.308002
23.666874 1.308353
23.675707 1.309541
23.644568 1.367567
23.638095 1.340002
23.663318 1.287117
23.665223 1.282839
23.671302 1.301877
23.675757 1.337656
23.667766 1.337779
23.669836 1.305798
23.649729 1.315416
23.655455 1.330780
23.689371 1.310271
23.742481 1.338977
23.780906 1.356653
23.826228 1.393324
23.820609 1.406498
23.833592 1.380745
23.805769 1.420973
23.820910 1.385473
23.842072 1.386424
23.823833 1.385662
23.786954 1.388553
23.724612 1.341386
23.688542 1.336397
23.676517 1.346153
23.677458 1.314065
23.659672 1.299523
23.625748 1.286785
23.638099 1.280669
