age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.1,5.3832,4.1438,3.1339,-3.1779,-2.1648,-2.0142,-1.4496,-0.9778,-0.4259,-1.6608,-1.6637,-1.779,-1.841
5.1,5.6116,4.1801,3.1984,-3.1918,-2.1238,-1.9638,-1.3733,-0.8781,-0.3167,-1.7956,-1.7478,-1.987,-1.982
5.1,5.8563,4.2164,3.2621,-3.205,-2.0803,-1.9117,-1.2965,-0.7791,-0.2088,-1.914,-1.8203,-2.178,-2.106
5.1,6.119,4.2527,3.3252,-3.2191,-2.0349,-1.858,-1.2192,-0.6807,-0.1018,-2.0172,-1.8823,-2.345,-2.209
5.1,6.4009,4.2888,3.3882,-3.2334,-1.9903,-1.8053,-1.1443,-0.5858,0.0013,-2.1089,-1.9375,-2.509,-2.307
5.1,6.7049,4.3248,3.451,-3.2461,-1.9457,-1.7531,-1.0718,-0.4947,0.0999,-2.1876,-1.9838,-2.659,-2.394
5.1,7.0356,4.3608,3.5133,-3.2573,-1.9019,-1.702,-1.0014,-0.4064,0.1957,-2.2582,-2.0247,-2.806,-2.478
5.1,7.3975,4.3967,3.5771,-3.2724,-1.8647,-1.6566,-0.9348,-0.3214,0.2897,-2.3317,-2.0676,-2.29,-1.877
5.1,7.7881,4.4326,3.6443,-3.296,-1.839,-1.6218,-0.8769,-0.2449,0.3767,-2.4126,-2.1163,-2.401,-1.936
5.1,8.2013,4.4686,3.7141,-3.2872,-1.8409,-1.617,-0.8552,-0.2071,0.4227,-2.508,-2.1887,-2.446,-2.103
5.1,8.7196,4.5055,3.783,-3.3825,-1.8527,-1.6223,-0.8439,-0.1793,0.4581,-2.6111,-2.2724,-2.698,-2.327
5.1,9.0479,4.4963,3.7537,-3.3191,-1.8178,-1.5892,-0.815,-0.1544,0.481,-2.5533,-2.2193,-2.573,-2.236
5.1,9.834,4.5062,3.7902,-3.2116,-1.865,-1.6345,-0.8553,-0.1901,0.4474,-2.6251,-2.2854,-2.715,-2.344
5.1,10.7437,4.5172,3.88,-3.2102,-2.0423,-1.8099,-1.0261,-0.3564,0.2832,-2.8284,-2.4835,-2.954,-2.579
